City,Population,Violent crime,Murder and nonnegligent manslaughter,Rape1,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson2
North Adams,"12,800",72,0,13,9,50,400,88,301,11,0
Northampton,"28,735",119,1,25,9,84,448,53,375,20,8
North Andover,"31,428",17,0,4,3,10,163,14,139,10,0
North Attleboro,"29,202",24,3,6,0,15,420,21,394,5,2
Northborough,"15,075",3,0,0,0,3,88,12,76,0,1
Northbridge,"16,732",31,0,2,0,29,140,21,113,6,1
Northfield,"2,988",0,0,0,0,0,10,1,9,0,0
North Reading,"15,687",16,0,3,1,12,60,10,44,6,0
Norton,"19,894",23,0,3,0,20,13,7,5,1,1
Norwell,"11,105",11,0,0,0,11,51,8,38,5,0
Norwood,"29,185",47,0,9,8,30,215,33,173,9,2
Oak Bluffs,"4,681",26,0,1,1,24,64,11,49,4,0
Oakham,"1,955",0,0,0,0,0,4,0,3,1,0
Orange,"7,643",22,0,3,2,17,93,17,72,4,1
Orleans,"5,742",5,0,1,0,4,50,6,44,0,0
Oxford,"13,973",29,0,11,0,18,162,12,144,6,0
Palmer,"12,258",50,0,2,3,45,115,34,71,10,3
Paxton,"4,944",8,0,2,0,6,12,1,9,2,0
Peabody,"53,104",123,0,21,8,94,435,55,350,30,2
Pelham,"1,322",0,0,0,0,0,3,2,1,0,0
Pembroke,"18,378",13,0,2,3,8,80,12,60,8,1
Pepperell,"12,146",15,0,5,1,9,58,5,50,3,0
Pittsfield,"42,268",300,2,36,31,231,796,263,490,43,6
Plainville,"9,281",6,1,0,0,5,48,7,40,1,0
Plymouth,"60,870",199,0,38,11,150,594,73,490,31,5
Plympton,"2,980",4,0,0,1,3,15,5,9,1,0
Princeton,"3,459",1,0,0,0,1,13,3,10,0,0
Provincetown,"2,939",16,0,2,1,13,51,8,41,2,0
Quincy,"94,113",375,1,31,61,282,"1,146",216,875,55,2
Randolph,"34,385",82,1,6,10,65,409,69,307,33,1
Raynham,"14,322",28,0,4,4,20,210,12,183,15,0
Reading,"25,305",3,0,0,0,3,116,15,94,7,0
Rehoboth,"12,252",8,0,0,1,7,46,16,26,4,0
Revere,"53,654",173,2,11,38,122,653,68,524,61,1
Rockland,"17,879",53,0,8,4,41,59,16,39,4,3
Rockport,"7,280",7,0,2,1,4,16,4,11,1,0
Rowley,"6,372",6,0,1,0,5,26,4,21,1,0
Rutland,"8,888",35,0,10,1,24,22,5,15,2,0
Salem,"43,443",108,0,14,21,73,727,87,594,46,6
Salisbury,"9,575",17,0,5,0,12,74,25,44,5,1
Sandwich,"20,016",40,0,5,1,34,97,16,79,2,2
Saugus,"28,378",72,0,9,10,53,360,28,305,27,1
Scituate,"18,774",14,0,2,0,12,62,7,50,5,1
Seekonk,"15,841",27,0,1,3,23,244,27,206,11,1
Sharon,"18,973",9,0,4,0,5,47,10,33,4,1
Shirley,"7,633",19,0,1,0,18,42,10,28,4,0
Shrewsbury,"37,983",4,0,1,2,1,126,15,92,19,0
Somerset,"18,036",43,0,3,4,36,130,8,114,8,0
Somerville,"81,668",166,0,16,38,112,"1,025",140,796,89,4
Southampton,"6,247",9,0,1,0,8,37,12,23,2,0
Southborough,"10,140",3,0,0,0,3,29,14,12,3,0
Southbridge,"16,826",79,0,21,3,55,238,50,172,16,0
South Hadley,"17,816",27,0,4,0,23,156,28,120,8,3
Southwick,"9,772",10,0,3,0,7,65,21,39,5,0
Spencer,"11,911",11,0,4,0,7,65,16,40,9,0
Springfield,"154,306","1,397",20,81,358,938,"4,005",746,"2,766",493,31
Sterling,"8,175",4,0,3,0,1,16,2,13,1,0
Stockbridge,"1,898",1,0,0,0,1,24,4,19,1,0
Stoneham,"22,732",33,0,9,5,19,175,44,115,16,0
Stoughton,"28,961",58,1,9,7,41,286,33,231,22,1
Stow,"7,234",4,0,0,0,4,12,4,8,0,1
Sturbridge,"9,611",17,0,3,0,14,113,12,94,7,3
Sudbury,"19,727",15,0,6,1,8,67,6,58,3,0
Sunderland,"3,656",4,0,2,0,2,21,5,13,3,0
Sutton,"9,551",12,0,2,0,10,53,18,33,2,0
Swampscott,"15,296",8,0,1,1,6,113,12,100,1,0
Swansea,"16,681",34,0,5,1,28,118,17,97,4,0
Taunton,"57,028",217,2,15,17,183,345,86,238,21,3
Templeton,"8,109",13,0,2,0,11,22,6,12,4,0
Tewksbury,"31,424",81,0,23,7,51,345,19,308,18,1
Tisbury,"4,116",30,0,3,0,27,31,6,23,2,1
Topsfield,"6,644",5,0,1,0,4,10,2,7,1,0
Townsend,"9,546",10,0,2,0,8,32,4,21,7,0
Truro,"1,984",5,0,1,0,4,5,0,5,0,0
Tyngsboro,"12,456",19,0,4,3,12,47,5,31,11,0
Uxbridge,"14,066",20,0,3,2,15,74,18,48,8,1
Wakefield,"27,178",37,0,3,3,31,164,25,127,12,0
Wales,"1,894",2,0,1,0,1,5,3,2,0,1
Walpole,"25,150",49,0,11,1,37,257,25,220,12,0
Waltham,"62,737",102,0,13,7,82,512,70,420,22,5
Ware,"9,804",49,0,1,6,42,83,9,64,10,0
Wareham,"22,592",161,1,23,9,128,322,51,251,20,0
Watertown,"36,189",29,0,10,2,17,319,36,269,14,0
Wayland,"13,891",0,0,0,0,0,1,1,0,0,0
Webster,"16,925",122,0,16,3,103,208,39,158,11,0
Wellesley,"29,651",7,0,0,0,7,120,15,104,1,0
Wellfleet,"2,705",0,0,0,0,0,25,6,19,0,0
Wenham,"5,295",0,0,0,0,0,8,1,6,1,0
Westborough,"19,155",24,0,8,0,16,200,33,163,4,1
West Boylston,"8,216",11,0,0,2,9,47,13,27,7,0
West Bridgewater,"7,248",9,0,1,0,8,71,16,48,7,1
Westfield,"41,507",83,3,15,7,58,398,52,324,22,1
Westford,"24,403",10,0,0,1,9,54,5,45,4,0
Westminster,"7,902",20,0,1,0,19,43,5,36,2,0
Weston,"12,138",9,0,2,0,7,28,3,24,1,0
Westport,"15,920",21,0,4,0,17,111,27,74,10,1
West Springfield,"28,628",138,0,18,15,105,969,101,814,54,2
West Tisbury,"2,911",7,0,1,0,6,17,2,11,4,0
Westwood,"16,199",10,0,1,3,6,166,14,148,4,0
Weymouth,"57,776",170,0,21,9,140,462,44,386,32,0
Whately,"1,589",1,0,0,0,1,17,2,10,5,0
Whitman,"15,134",33,0,3,3,27,104,21,76,7,2
Wilbraham,"14,730",21,0,1,0,20,220,58,155,7,0
Williamsburg,"2,489",2,0,1,0,1,18,4,14,0,0
Williamstown,"8,021",6,0,4,0,2,71,3,66,2,0
Wilmington,"23,915",32,0,5,1,26,154,15,124,15,0
Winchendon,"10,897",37,0,9,0,28,100,30,57,13,1
Winchester,"22,850",7,0,0,0,7,88,10,74,4,1
Winthrop,"18,692",37,0,2,6,29,129,11,102,16,0
Woburn,"40,251",70,0,2,10,58,414,46,323,45,1
Worcester,"184,945","1,165",13,40,229,883,"3,792",786,"2,637",369,6
Worthington,"1,191",0,0,0,0,0,0,0,0,0,0
Wrentham,"11,989",4,0,2,0,2,178,18,153,7,0
Yarmouth,"23,076",96,0,19,3,74,229,38,186,5,0
Barrington,"16,090",4,0,2,1,1,89,14,74,1,0
Bristol,"22,070",16,0,7,0,9,103,6,94,3,1
Burrillville,"16,859",9,1,2,0,6,79,17,57,5,2
Central Falls,"19,423",82,1,11,13,57,289,44,192,53,2
Charlestown,"7,819",6,0,1,1,4,48,14,32,2,1
Coventry,"34,751",31,0,11,0,20,386,73,294,19,3
Cranston,"81,471",127,1,26,20,80,"1,110",113,912,85,13
Cumberland,"35,206",25,0,8,5,12,252,30,203,19,2
East Greenwich,"13,119",5,0,0,2,3,91,9,78,4,0
East Providence,"47,590",62,0,20,6,36,498,75,353,70,3
Foster,"4,730",3,0,1,0,2,27,9,18,0,0
Glocester,"10,281",4,0,0,0,4,26,5,17,4,1
Hopkinton,"8,110",4,0,3,0,1,39,7,31,1,0
Jamestown,"5,508",4,0,2,0,2,24,2,21,1,0
Johnston,"29,424",32,0,8,6,18,326,62,225,39,0
Lincoln,"21,891",25,0,6,8,11,380,33,325,22,0
Little Compton,"3,488",2,0,0,0,2,21,6,14,1,0
Middletown,"15,934",11,0,5,0,6,151,14,129,8,2
Narragansett,"15,411",14,0,6,1,7,103,13,84,6,2
Newport,"24,584",68,0,19,8,41,537,79,437,21,3
New Shoreham,"1,032",3,0,0,0,3,23,7,15,1,0
North Kingstown,"26,286",23,0,15,0,8,214,29,180,5,2
North Providence,"32,655",44,1,6,2,35,208,48,117,43,2
North Smithfield,"12,568",6,0,2,0,4,272,12,251,9,1
Pawtucket,"72,030",293,1,57,47,188,"1,640",315,"1,146",179,13
Portsmouth,"17,330",11,0,4,0,7,76,16,57,3,1
Providence,"179,762",892,13,106,241,532,"5,413",715,"4,224",474,5
Richmond,"7,701",3,0,0,0,3,37,4,30,3,0
Scituate,"10,707",6,0,4,0,2,38,2,34,2,1
Smithfield,"21,790",6,0,3,0,3,195,21,171,3,1
South Kingstown,"30,656",19,0,8,1,10,214,31,172,11,1
Tiverton,"15,745",11,0,5,2,4,180,21,148,11,1
Warren,"10,419",18,0,5,1,12,133,24,104,5,0
Warwick,"80,749",76,2,29,8,37,"1,239",108,"1,073",58,2
Westerly,"22,475",15,1,9,0,5,243,36,193,14,1
West Greenwich,"6,375",4,0,0,1,3,37,10,24,3,0
West Warwick,"28,847",54,0,14,2,38,238,58,161,19,2
Woonsocket,"41,709",237,2,34,40,161,865,197,580,88,15
Ansonia,"18,656",36,1,10,11,14,277,14,220,43,1
Avon,"18,320",4,0,0,1,3,209,15,182,12,0
Berlin,"20,500",19,0,2,5,12,251,40,196,15,1
Bethel,"19,855",6,2,1,1,2,125,13,108,4,0
Bloomfield,"21,406",27,1,5,5,16,500,21,431,48,0
Branford,"28,002",9,0,2,4,3,386,30,326,30,0
Bridgeport,"144,908",843,17,71,392,363,"2,465",555,"1,292",618,13
Bristol,"59,977",53,1,8,21,23,822,113,603,106,2
Brookfield,"17,071",4,0,1,1,2,143,6,134,3,0
Canton,"10,267",5,0,1,0,4,56,4,45,7,0
Cheshire,"29,167",13,1,4,2,6,207,14,172,21,0
Clinton,"12,914",12,0,5,3,4,232,21,207,4,0
Coventry,"12,411",12,0,6,1,5,132,16,103,13,0
Cromwell,"13,894",5,0,1,2,2,363,21,326,16,3
Danbury,"85,167",97,1,15,28,53,"1,045",132,827,86,4
Darien,"21,880",3,0,0,1,2,267,29,206,32,0
Derby,"12,468",24,0,4,11,9,240,39,179,22,2
East Hampton,"12,842",3,0,0,3,0,104,10,84,10,0
East Hartford,"49,842",76,1,18,31,26,775,109,525,141,8
East Haven,"28,635",36,0,7,11,18,572,58,454,60,0
East Lyme,"18,588",8,0,1,1,6,83,12,54,17,1
Easton,"7,519",0,0,0,0,0,42,13,21,8,0
East Windsor,"11,399",14,1,1,4,8,275,39,219,17,0
Enfield2,"44,443",49,1,12,6,30,606,59,497,50,2
Fairfield,"62,239",31,1,3,13,14,941,96,791,54,0
Farmington,"25,525",6,0,2,3,1,599,107,464,28,1
Glastonbury,"34,497",22,0,3,5,14,327,35,270,22,1
Granby,"11,386",0,0,0,0,0,64,3,58,3,0
Greenwich,"62,905",22,0,4,4,14,471,65,348,58,0
Groton,"8,967",16,0,4,0,12,99,26,70,3,2
Groton Long Point,509,0,0,0,0,0,3,1,2,0,0
Groton Town,"29,046",34,1,10,2,21,304,37,249,18,2
Guilford,"22,194",10,0,4,1,5,201,14,176,11,3
Hamden,"60,855",199,2,9,45,143,"1,328",109,"1,047",172,1
Hartford,"122,245","1,049",21,31,271,726,"3,424",427,"2,464",533,50
Ledyard,"14,698",6,0,4,0,2,73,15,53,5,1
Madison,"18,087",0,0,0,0,0,65,3,50,12,1
Manchester2,"57,630",100,1,16,46,37,"1,376",143,"1,135",98,1
Meriden,"59,378",157,3,19,38,97,"1,020",178,719,123,7
Middlebury,"7,750",2,0,0,0,2,64,9,47,8,0
Middletown,"45,963",38,0,5,10,23,613,62,474,77,0
Milford,"54,898",29,1,0,16,12,"1,028",95,853,80,1
Monroe,"19,466",3,0,2,1,0,84,12,66,6,1
Naugatuck,"31,214",30,0,10,9,11,441,48,372,21,3
New Britain2,"72,354",306,3,44,66,193,"1,195",188,826,181,7
New Canaan,"20,268",2,0,0,0,2,101,14,80,7,0
New Haven,"130,494","1,168",13,45,321,789,"4,958",659,"3,580",719,28
Newington,"30,060",24,0,2,14,8,646,65,530,51,0
New London,"26,856",79,0,19,32,28,461,90,329,42,4
New Milford,"26,835",15,0,9,0,6,181,2,173,6,1
Newtown,"27,795",6,0,0,1,5,57,11,45,1,1
North Branford,"14,127",8,0,4,3,1,99,10,79,10,0
North Haven,"23,642",11,0,0,5,6,361,57,268,36,1
Norwalk,"89,440",183,1,8,29,145,"1,247",133,989,125,4
Norwich,"38,964",149,0,26,22,101,533,112,368,53,5
Old Saybrook,"10,069",2,0,0,0,2,69,5,59,5,0
Orange,"13,948",4,0,0,3,1,370,25,326,19,0
Plainfield,"15,145",18,1,9,1,7,37,3,29,5,0
Plainville,"17,610",33,0,1,3,29,348,18,309,21,0
Plymouth,"11,573",2,0,0,1,1,110,10,84,16,0
Portland,"9,281",4,0,1,0,3,38,3,26,9,0
Putnam,"9,374",18,0,9,0,9,72,9,56,7,2
Redding,"9,120",2,0,1,1,0,35,9,26,0,0
Ridgefield,"25,050",1,0,0,0,1,72,12,53,7,0
Rocky Hill,"20,199",12,1,7,2,2,212,21,166,25,0
Seymour,"16,505",9,0,2,4,3,104,20,73,11,2
Shelton,"41,287",22,0,8,7,7,304,61,219,24,1
Simsbury,"25,169",3,0,1,2,0,146,5,121,20,0
Southington,"43,886",26,0,2,6,18,542,87,407,48,1
South Windsor,"26,097",13,0,5,4,4,332,50,255,27,2
Stamford,"130,678",264,5,27,87,145,"1,803",196,"1,446",161,1
Stonington,"18,439",15,2,3,0,10,159,31,126,2,0
Stratford,"52,034",71,1,13,25,32,859,97,654,108,4
Suffield,"15,740",5,0,2,1,2,62,13,39,10,0
Thomaston,"7,521",4,0,1,1,2,58,6,46,6,0
Torrington,"33,972",36,0,12,5,19,372,53,289,30,2
Trumbull,"35,772",45,0,7,15,23,778,53,692,33,1
Vernon,"29,318",16,0,5,3,8,307,50,211,46,0
Wallingford,"44,457",17,0,6,1,10,291,35,237,19,1
Waterbury,"107,812",325,5,53,124,143,"3,263",450,"2,272",541,12
Waterford,"18,812",8,0,4,1,3,189,10,174,5,0
Watertown,"21,534",13,3,3,2,5,284,26,221,37,0
West Hartford,"62,875",36,0,1,30,5,"1,406",130,"1,192",84,1
West Haven,"54,794",85,1,21,29,34,"1,091",96,828,167,3
Weston,"10,254",0,0,0,0,0,15,1,14,0,0
Westport,"28,332",4,0,0,2,2,193,20,152,21,0
Wethersfield,"26,009",23,0,4,8,11,351,39,272,40,1
Willimantic,"17,660",22,0,7,6,9,119,18,85,16,1
Wilton,"18,439",4,0,0,0,4,109,13,89,7,0
Winchester,"10,585",7,0,3,3,1,85,24,56,5,0
Windsor,"28,717",12,0,3,2,7,605,43,502,60,1
Windsor Locks,"12,924",8,1,1,6,0,140,16,98,26,0
Wolcott,"16,642",7,0,3,4,0,195,30,139,26,0
Woodbridge,"8,782",6,1,3,1,1,89,13,66,10,0
Adams Village,"1,735",0,0,0,0,0,0,0,0,0,0
Addison Town and Village,"2,471",3,0,0,0,3,5,0,5,0,0
Afton Village,796,0,0,0,0,0,0,0,0,0,0
Akron Village,"2,851",1,0,0,0,1,5,1,4,0,0
Albany,"97,221",736,4,60,189,483,"2,919",445,"2,315",159,16
Albion Village,"5,802",17,0,2,1,14,147,27,115,5,2
Alfred Village,"3,988",1,0,0,0,1,23,5,18,0,0
Allegany Village,"1,707",1,0,0,0,1,9,0,8,1,0
Amherst Town,"120,864",141,2,11,42,86,"1,840",157,"1,640",43,5
Amityville Village,"9,430",3,1,0,0,2,68,12,52,4,0
Amsterdam,"17,773",40,1,3,7,29,220,49,158,13,3
Angelica Village,818,0,0,0,0,0,0,0,0,0,0
Arcade Village,"1,933",2,0,0,0,2,6,1,5,0,0
Ardsley Village,"4,538",1,0,1,0,0,21,3,17,1,0
Asharoken Village,644,0,0,0,0,0,0,0,0,0,0
Attica Village,"2,411",0,0,0,0,0,5,0,5,0,0
Baldwinsville Village,"7,931",0,0,0,0,0,46,4,41,1,3
Ballston Spa Village,"5,257",2,0,1,0,1,31,3,27,1,0
Barker,505,0,0,0,0,0,0,0,0,0,0
Bath Village,"5,446",12,0,2,3,7,73,14,59,0,0
Beacon,"14,510",24,1,4,6,13,150,15,128,7,0
Bedford Town,"17,791",1,0,0,0,1,57,4,52,1,0
Belmont Village,904,0,0,0,0,0,3,0,3,0,0
Bethlehem Town,"35,275",29,0,11,2,16,438,41,391,6,0
Binghamton,"44,475",355,2,42,66,245,"1,907",417,"1,429",61,16
Black River,"1,253",0,0,0,0,0,8,0,8,0,0
Blasdell Village,"2,665",5,0,0,2,3,39,7,30,2,0
Blooming Grove Town,"11,816",6,0,1,0,5,54,8,45,1,0
Bolton Town,"2,251",0,0,0,0,0,10,1,8,1,0
Boonville Village,"1,995",1,0,1,0,0,11,2,8,1,
Brant Town,"2,055",0,0,0,0,0,5,0,4,1,0
Brewster,"2,345",0,0,0,0,0,5,0,5,0,0
Briarcliff Manor Village,"8,267",0,0,0,0,0,30,1,29,0,0
Brighton Town,"36,036",25,0,5,4,16,611,85,507,19,0
Brockport Village,"8,241",10,0,3,1,6,59,5,52,2,0
Bronxville Village,"6,459",0,0,0,0,0,34,5,28,1,0
Brownville Village,"1,093",0,0,0,0,0,1,0,1,0,0
Buchanan Village,"2,243",2,0,1,1,0,6,0,6,0,0
Buffalo,"255,686","2,533",47,121,802,"1,563","8,298","1,610","6,009",679,143
Cairo Town,"6,413",1,0,0,0,1,30,5,24,1,0
Cambridge Village,"1,794",0,0,0,0,0,19,2,17,0,0
Camden Village,"2,164",0,0,0,0,0,24,1,22,1,0
Camillus Town and Village,"24,160",17,0,7,2,8,277,22,245,10,2
Canajoharie Village,"2,136",1,0,1,0,0,15,2,12,1,0
Canandaigua,"10,217",45,0,22,3,20,178,22,148,8,0
Canastota Village,"4,513",7,0,3,1,3,33,7,24,2,1
Canisteo Village,"2,131",4,0,2,0,2,3,0,3,0,0
Canton Village,"6,407",3,0,1,0,2,18,2,16,0,0
Cape Vincent Village,702,0,0,0,0,0,0,0,0,0,0
Carmel Town,"34,251",8,0,0,0,8,76,5,69,2,0
Carroll Town,"3,329",0,0,0,0,0,19,5,14,0,0
Carthage Village,"3,336",1,0,1,0,0,45,3,41,1,0
Catskill Village,"3,797",6,0,0,1,5,71,18,52,1,0
Cattaraugus Village,907,0,0,0,0,0,0,0,0,0,0
Cayuga Heights Village,"3,666",0,0,0,0,0,7,1,6,0,0
Cazenovia Village,"2,842",2,0,1,0,1,18,3,15,0,0
Central Square Village,"1,749",0,0,0,0,0,63,1,62,0,1
Centre Island Village,410,0,0,0,0,0,1,1,0,0,0
Chatham Village,"1,619",0,0,0,0,0,3,0,3,0,0
Cheektowaga Town,"76,821",187,2,15,57,113,"2,153",208,"1,856",89,4
Chester Town,"8,043",8,0,1,3,4,7,0,7,0,0
Chester Village,"4,120",0,0,0,0,0,16,0,16,0,0
Chittenango Village,"4,835",1,0,0,0,1,19,1,16,2,0
Cicero Town,"28,732",5,0,1,1,3,174,18,150,6,0
Clarkstown Town,"80,599",56,0,12,11,33,985,33,918,34,2
Clayton Village,"1,828",0,0,0,0,0,12,1,11,0,0
Clyde Village,"1,937",3,0,0,1,2,23,8,15,0,0
Cobleskill Village,"4,329",15,0,2,1,12,51,2,48,1,1
Coeymans Town,"7,297",17,0,2,1,14,71,4,65,2,0
Cohocton Town,"2,452",0,0,0,0,0,0,0,0,0,0
Cohoes,"16,717",37,2,5,3,27,153,14,127,12,1
Colchester Town,"1,965",5,0,1,1,3,14,3,9,2,0
Cold Spring Village,"1,955",1,0,0,0,1,2,1,1,0,0
Colonie Town,"79,509",62,0,10,19,33,"1,870",120,"1,716",34,5
Cornwall-on-Hudson Village,"2,914",1,0,0,0,1,15,1,14,0,0
Cornwall Town,"9,502",2,0,1,0,1,7,2,5,0,0
Cortland,"18,655",55,0,27,6,22,325,77,246,2,1
Coxsackie Village,"2,653",0,0,0,0,0,1,0,1,0,0
Crawford Town,"9,171",1,0,0,1,0,64,13,49,2,1
Croton-on-Hudson Village,"8,131",3,0,0,0,3,36,2,32,2,0
Cuba Town,"3,083",1,0,0,0,1,27,3,24,0,0
Dansville Village,"4,389",1,0,0,0,1,52,7,44,1,0
Deerpark Town,"7,714",11,0,2,0,9,49,8,35,6,0
Delhi Village,"3,094",8,0,1,0,7,22,6,16,0,0
Depew Village,"15,008",15,0,5,2,8,193,27,156,10,1
Deposit Village,"1,524",1,0,0,1,0,10,1,8,1,0
DeWitt Town,"25,000",36,0,3,12,21,608,62,514,32,1
Dexter Village,"1,011",0,0,0,0,0,1,0,1,0,0
Dobbs Ferry Village,"10,990",4,0,0,2,2,44,2,38,4,0
Dryden Village,"2,121",4,0,2,1,1,24,3,21,0,0
Dunkirk,"11,712",21,1,0,5,15,210,37,168,5,0
Durham Town,"2,659",0,0,0,0,0,3,0,3,0,0
East Aurora-Aurora Town,"13,785",2,0,0,1,1,67,10,52,5,0
Eastchester Town,"20,073",3,0,0,2,1,67,8,52,7,0
East Greenbush Town,"16,324",10,0,1,2,7,400,37,358,5,0
East Rochester Village,"6,522",6,0,0,1,5,69,18,47,4,0
Eden Town,"7,621",2,0,1,0,1,36,8,25,3,0
Ellenville Village,"3,980",9,0,0,1,8,50,4,44,2,0
Ellicott Town,"5,014",13,0,2,2,9,241,30,210,1,0
Ellicottville,"1,575",0,0,0,0,0,9,2,7,0,0
Elmira,"26,958",83,1,0,40,42,831,172,643,16,0
Elmira Heights Village,"3,819",4,0,0,1,3,73,13,58,2,0
Elmira Town,"5,589",0,0,0,0,0,2,1,1,0,0
Elmsford Village,"5,295",3,0,0,1,2,11,3,8,0,0
Evans Town,"16,118",20,0,6,4,10,171,8,154,9,1
Fairport Village,"5,334",2,0,0,1,1,24,1,22,1,0
Fishkill Town,"21,307",8,0,0,2,6,190,5,184,1,
Fishkill Village,"2,071",1,0,0,0,1,20,1,19,0,0
Floral Park Village,"15,927",8,0,0,4,4,26,2,22,2,0
Florida Village,"2,851",0,0,0,0,0,5,3,2,0,0
Fort Edward Village,"3,253",2,0,2,0,0,4,2,2,0,0
Fort Plain Village,"2,224",9,0,4,0,5,53,7,46,0,0
Frankfort Town,"4,817",3,0,1,0,2,20,3,16,1,1
Frankfort Village,"2,432",6,0,1,0,5,12,1,9,2,0
Franklinville Village,"1,632",0,0,0,0,0,2,0,2,0,0
Freeport Village,"43,064",72,0,1,23,48,428,45,361,22,0
Friendship Town,"1,869",0,0,0,0,0,8,3,5,0,0
Galway Village,194,0,0,0,0,0,0,0,0,0,0
Garden City Village,"22,514",9,0,0,3,6,267,25,234,8,1
Gates Town,"28,366",55,0,11,11,33,776,66,669,41,2
Geddes Town,"10,038",4,0,0,2,2,162,22,135,5,0
Geneseo Village,"8,158",3,0,3,0,0,83,7,76,0,1
Geneva,"12,708",20,0,8,4,8,234,47,185,2,1
Glen Cove,"27,228",5,0,0,4,1,84,5,77,2,0
Glen Park Village,481,0,0,0,0,0,0,0,0,0,0
Glens Falls,"14,306",28,0,8,1,19,100,18,80,2,1
Glenville Town,"21,634",12,0,5,0,7,309,23,281,5,0
Gloversville,"14,738",66,0,24,2,40,401,36,349,16,1
Goshen Town,"8,798",2,0,0,0,2,27,3,23,1,0
Goshen Village,"5,337",2,0,0,0,2,29,5,23,1,0
Gowanda Village,"2,575",4,0,0,0,4,26,2,24,0,0
Granville Village,"2,422",3,0,0,1,2,12,3,9,0,0
Great Neck Estates Village,"2,884",0,0,0,0,0,12,8,1,3,0
Greece Town,"95,777",167,0,27,43,97,"1,847",194,"1,576",77,2
Greenburgh Town,"45,040",43,0,8,8,27,438,22,403,13,0
Greene Village,"1,415",0,0,0,0,0,22,5,16,1,0
Greenport Town,"4,286",0,0,0,0,0,56,0,55,1,0
Greenwich Village,"1,708",0,0,0,0,0,16,3,13,0,0
Greenwood Lake Village,"3,074",2,0,0,0,2,7,2,5,0,0
Groton Village,"2,278",0,0,0,0,0,36,2,34,0,0
Guilderland Town,"34,133",23,0,5,9,9,841,51,785,5,0
Hamburg Town,"46,445",43,2,0,8,33,742,66,659,17,3
Hamburg Village,"9,725",2,0,0,0,2,76,10,63,3,0
Hamilton Village,"4,081",0,0,0,0,0,3,0,3,0,0
Hancock Village,934,2,0,1,0,1,5,1,4,0,0
Harriman Village,"2,439",3,0,0,0,3,28,2,26,0,0
Harrison Town,"27,946",0,0,0,0,0,147,20,120,7,0
Hastings-on-Hudson Village,"7,916",2,0,0,0,2,58,4,53,1,1
Hempstead Village,"55,404",297,7,11,101,178,579,120,348,111,2
Herkimer Village,"7,291",41,0,11,2,28,201,19,179,3,0
Highlands Town,"8,444",0,0,0,0,0,7,2,5,0,0
Holley Village,"1,676",1,0,1,0,0,9,4,5,0,2
Homer Village,"3,100",1,0,0,0,1,2,0,2,0,0
Hoosick Falls Village,"3,359",5,0,0,0,5,21,3,17,1,0
Horseheads Village,"6,390",4,0,1,1,2,101,8,91,2,0
Hudson Falls Village,"7,023",14,0,4,0,10,45,8,35,2,1
Huntington Bay Village,"1,434",0,0,0,0,0,7,0,7,0,0
Hyde Park Town,"20,808",4,0,0,1,3,84,10,73,1,0
Ilion Village,"7,685",38,0,14,2,22,163,21,136,6,0
Independence Town,"1,137",2,0,0,0,2,4,1,3,0,0
Inlet Town,302,0,0,0,0,0,1,1,0,0,0
Irvington Village,"6,506",0,0,0,0,0,33,3,28,2,0
Ithaca,"31,122",41,1,5,9,26,840,56,768,16,2
Jamestown,"29,102",199,0,31,19,149,863,203,621,39,13
Johnson City Village,"14,196",61,1,19,10,31,765,76,681,8,1
Johnstown,"8,198",13,0,8,0,5,138,13,123,2,1
Jordan Village,"1,298",0,0,0,0,0,0,0,0,0,0
Kenmore Village,"15,025",11,0,0,4,7,175,23,147,5,0
Kensington Village,"1,189",0,0,0,0,0,5,0,3,2,0
Kent Town,"13,235",5,0,4,1,0,27,2,23,2,1
Kings Point Village,"5,312",2,0,0,1,1,24,4,2,18,0
Kingston,"22,844",68,2,13,10,43,498,59,419,20,2
Kirkland Town,"8,329",0,0,0,0,0,4,0,3,1,0
Lackawanna,"17,724",81,0,12,9,60,378,53,291,34,1
Lake Placid Village,"2,369",3,0,2,1,0,19,3,16,0,0
Lake Success Village,"3,153",0,0,0,0,0,16,2,12,2,0
Lakewood-Busti,"7,193",5,0,2,2,1,332,42,284,6,1
Lancaster Town,"37,571",21,0,5,8,8,398,37,351,10,0
Larchmont Village,"6,096",2,0,1,1,0,84,2,78,4,0
Lewisboro Town,"12,582",0,0,0,0,0,0,0,0,0,0
Lewiston Town and Village,"15,763",4,0,2,0,2,87,4,72,11,3
Liberty Village,"4,083",29,0,7,4,18,119,15,103,1,0
Little Falls,"4,642",15,0,2,1,12,39,4,34,1,2
Liverpool Village,"2,202",0,0,0,0,0,9,0,8,1,0
Lloyd Harbor Village,"3,667",3,0,0,0,3,7,0,6,1,0
Lloyd Town,"10,463",7,0,2,1,4,99,9,88,2,0
Long Beach,"33,552",19,0,0,2,17,66,5,53,8,1
Lowville Village,"3,315",3,0,0,0,3,14,2,12,0,0
Lynbrook Village,"19,492",13,0,2,2,9,95,8,81,6,0
Macedon Town and Village,"8,877",5,0,2,0,3,72,6,63,3,0
Malone Village,"5,581",12,0,6,1,5,112,12,96,4,0
Malverne Village,"8,514",2,0,0,0,2,10,3,7,0,0
Mamaroneck Town,"12,088",2,0,0,0,2,79,10,67,2,0
